,ENTITLEMENT
The Abrasive,"There's something enthralling about her, perhaps it's a feeling of joy or perhaps it's simply her tenderness. But nonetheless, people tend to socialize with her, while commending her for her deeds. "
The Abrupt,"There's something puzzling about her, perhaps it's a feeling of coldness or perhaps it's simply her composure. But nonetheless, people tend to brag about knowing her, while learning as much about her as possible. "
The Active,"There's something charming about her, perhaps it's her good will or perhaps it's simply a feeling of indifference. But nonetheless, people tend to salute her in the streets, while thinking of ways to become her friend. "
The Adaptable,"There's something different about her, perhaps it's her goodwill or perhaps it's simply her friendly demeanor. But nonetheless, people tend to ask her for favors, while trying to subtly look more like her. "
The Admirable,"There's something enticing about her, perhaps it's a feeling of coldness or perhaps it's simply her odd friends. But nonetheless, people tend to welcome her, while wishing they were more like her. "
The Adventurous,"There's something bewildering about her, perhaps it's a feeling of comfort or perhaps it's simply her suffering. But nonetheless, people tend to pretend to be her best friend, while hoping their sons will grow up to be like her. "
The Aesthetic,"There's something bizarre about her, perhaps it's a feeling of coldness or perhaps it's simply a feeling of joy. But nonetheless, people tend to lie about knowing her to brag, while befriending her friends to get closer to her. "
The Aggressive,"There's something odd about her, perhaps it's a feeling of coldness or perhaps it's simply her composure. But nonetheless, people tend to take pride in knowing her as a friend, while jealousy consumes them. "
The Agreeable,"There's something curious about her, perhaps it's a feeling of regret or perhaps it's simply her sense of comradely. But nonetheless, people tend to worship her, while spreading stories about her. "
The Airy,"There's something different about her, perhaps it's a feeling of indifference or perhaps it's simply her suffering. But nonetheless, people tend to invite her into their homes, while hoping to one day follow in her footsteps. "
The Alert,"There's something puzzling about her, perhaps it's her friendly demeanor or perhaps it's simply a feeling of indifference. But nonetheless, people tend to flock towards her, while secretly despising her. "
The Allocentric,"There's something obscure about her, perhaps it's her sense of comradely or perhaps it's simply her bravery. But nonetheless, people tend to stay on her good side, while secretly admiring her. "
The Aloof,"There's something incomprehensible about her, perhaps it's her composure or perhaps it's simply her patience. But nonetheless, people tend to wish to get to know her better, while trying to hide from her. "
The Ambitious,"There's something extraordinary about her, perhaps it's her painful past or perhaps it's simply her odd friends. But nonetheless, people tend to worship her, while wishing they were more like her. "
The Amiable,"There's something misleading about her, perhaps it's a feeling of coldness or perhaps it's simply her persistence. But nonetheless, people tend to ask her about her adventures, while spreading rumors about her behind her back. "
The Amusing,"There's something mystifying about her, perhaps it's a feeling of comfort or perhaps it's simply her sensitivity. But nonetheless, people tend to be curious about her, while spreading rumors about her behind her back. "
The Angry,"There's something odd about her, perhaps it's her painful past or perhaps it's simply her warmth. But nonetheless, people tend to take pride in knowing her as a friend, while spreading stories about her. "
The Anticipative,"There's something extraordinary about her, perhaps it's her disposition or perhaps it's simply her clumsiness. But nonetheless, people tend to become her friend, while making up bigger stories about her. "
The Anxious,"There's something captivating about her, perhaps it's her sympathy or perhaps it's simply her composure. But nonetheless, people tend to share local gossip with her, while trying to please her. "
The Apathetic,"There's something fascinating about her, perhaps it's a feeling of joy or perhaps it's simply a feeling of comfort. But nonetheless, people tend to shower her with gifts, while treating her to a good meal when he's around. "
The Appreciative,"There's something charming about her, perhaps it's a feeling of comfort or perhaps it's simply her perseverance. But nonetheless, people tend to take pride in knowing her as a friend, while trying to subtly look more like her. "
The Arbitrary,"There's something extraordinary about her, perhaps it's her suffering or perhaps it's simply her fortunate past. But nonetheless, people tend to shower her with gifts, while secretly training to become more like her. "
The Arrogant,"There's something captivating about her, perhaps it's her friendly demeanor or perhaps it's simply her persistence. But nonetheless, people tend to welcome her with open arms, while secretly admiring her. "
The Artful,"There's something enigmatic about her, perhaps it's her unusual alliances or perhaps it's simply her perseverance. But nonetheless, people tend to ask her to tell stories, while training with her whenever he's available. "
The Articulate,"There's something mystifying about her, perhaps it's her unusual looks or perhaps it's simply her friendly demeanor. But nonetheless, people tend to subtly ignore her, while befriending her friends to get closer to her. "
The Artificial,"There's something captivating about her, perhaps it's her sympathy or perhaps it's simply her goodwill. But nonetheless, people tend to lie about knowing her to brag, while trying to subtlety stare. "
The Ascetic,"There's something odd about her, perhaps it's her decency or perhaps it's simply her sense of comradely. But nonetheless, people tend to become her friend, while hoping their sons will grow up to be like her. "
The Asocial,"There's something alluring about her, perhaps it's her gentleness or perhaps it's simply a feeling of indifference. But nonetheless, people tend to subtly ignore her, while thinking of ways to become her friend. "
The Aspiring,"There's something inexplicable about her, perhaps it's her disposition or perhaps it's simply a feeling of sadness. But nonetheless, people tend to invite her into their homes, while helping her out in any way they can. "
The Assertive,"There's something fascinating about her, perhaps it's her sense of justice or perhaps it's simply her sensitivity. But nonetheless, people tend to invite her into their homes, while spreading stories about her. "
The Astigmatic,"There's something alluring about her, perhaps it's her reputation or perhaps it's simply her sense of justice. But nonetheless, people tend to ask her about her adventures, while awkwardly avoid talking about her past. "
The Athletic,"There's something mystifying about her, perhaps it's her fortunate past or perhaps it's simply her sense of honor. But nonetheless, people tend to thank her for her service, while making up bigger stories about her. "
The Attractive,"There's something extraordinary about her, perhaps it's her good will or perhaps it's simply her bravery. But nonetheless, people tend to hit it off with her, while trying to avoid her. "
The Authoritarian,"There's something enigmatic about her, perhaps it's her reputation or perhaps it's simply her composure. But nonetheless, people tend to pretend to be her best friend, while secretly despising her. "
The Balanced,"There's something puzzling about her, perhaps it's her attitude or perhaps it's simply her bravery. But nonetheless, people tend to thank her for her service, while learning as much about her as possible. "
The Barbaric,"There's something bewildering about her, perhaps it's her attitude or perhaps it's simply her reputation. But nonetheless, people tend to ask her about her adventures, while treating her to a good meal when he's around. "
The Benevolent,"There's something misleading about her, perhaps it's her sense of comradely or perhaps it's simply a feeling of indifference. But nonetheless, people tend to ask her about her adventures, while thinking of ways to become her friend. "
The Bigthinking,"There's something captivating about her, perhaps it's her sense of humor or perhaps it's simply her perseverance. But nonetheless, people tend to take pride in knowing her, while secretly training to become more like her. "
The Bizarre,"There's something puzzling about her, perhaps it's her good will or perhaps it's simply a feeling of guilt. But nonetheless, people tend to hit it off with her, while trying to avoid her. "
The Bland,"There's something curious about her, perhaps it's her painful past or perhaps it's simply her composure. But nonetheless, people tend to hit it off with her, while hoping to one day follow in her footsteps. "
The Blunt,"There's something ambiguous about her, perhaps it's her sense of humor or perhaps it's simply her painful past. But nonetheless, people tend to ask her about her adventures, while awkwardly avoid talking about her past. "
The Boyish,"There's something charming about her, perhaps it's her friendly demeanor or perhaps it's simply a feeling of regret. But nonetheless, people tend to brag about knowing her, while spreading rumors about her behind her back. "
The Breezy,"There's something inexplicable about her, perhaps it's a feeling of hospitality or perhaps it's simply a feeling of coldness. But nonetheless, people tend to pretend to be her friend, while secretly despising her. "
The Brilliant,"There's something charming about her, perhaps it's her composure or perhaps it's simply her bravery. But nonetheless, people tend to treat her like family, while hoping to one day follow in her footsteps. "
The Brittle,"There's something mystifying about her, perhaps it's her sympathy or perhaps it's simply her goodwill. But nonetheless, people tend to take pride in knowing her, while hoping she will one day be their leader. "
The Brutal,"There's something appealing about her, perhaps it's her odd friends or perhaps it's simply a feeling of arrogance. But nonetheless, people tend to share local gossip with her, while secretly admiring her. "
The Businesslike,"There's something ambiguous about her, perhaps it's a feeling of delight or perhaps it's simply a feeling of anguish. But nonetheless, people tend to socialize with her, while awkwardly avoid talking about her past. "
The Busy,"There's something extraordinary about her, perhaps it's her bravery or perhaps it's simply her personality. But nonetheless, people tend to keep their distance, while spreading rumors about her behind her back. "
The Callous,"There's something curious about her, perhaps it's her goodwill or perhaps it's simply her personality. But nonetheless, people tend to take pride in knowing her as a friend, while secretly admiring her. "
The Calm,"There's something ambiguous about her, perhaps it's her disposition or perhaps it's simply her persistence. But nonetheless, people tend to treat her like family, while treating her to a good meal when he's around. "
The Capable,"There's something obscure about her, perhaps it's her good looks or perhaps it's simply her tenderness. But nonetheless, people tend to stay on her good side, while hoping she will one day be their leader. "
The Captivating,"There's something bizarre about her, perhaps it's her suffering or perhaps it's simply her presence. But nonetheless, people tend to wish to get to know her better, while commending her for her deeds. "
The Careless,"There's something irregular about her, perhaps it's a feeling of delight or perhaps it's simply her painful past. But nonetheless, people tend to pretend to be her friend, while wishing they were more like her. "
The Caring,"There's something appealing about her, perhaps it's her humility or perhaps it's simply a feeling of joy. But nonetheless, people tend to ask her about her adventures, while spreading rumors about her behind her back. "
The Casual,"There's something mystifying about her, perhaps it's her kindness or perhaps it's simply her good will. But nonetheless, people tend to brag about knowing her, while treating her to a good meal when he's around. "
The Cautious,"There's something irregular about her, perhaps it's her attitude or perhaps it's simply her good looks. But nonetheless, people tend to ask her about her latest victory, while treating her to a good meal when he's around. "
The Cerebral,"There's something obscure about her, perhaps it's her humility or perhaps it's simply her bravery. But nonetheless, people tend to keep their distance, while learning as much about her as possible. "
The Challenging,"There's something captivating about her, perhaps it's her gentleness or perhaps it's simply a feeling of regret. But nonetheless, people tend to ask her about her latest victory, while jealousy consumes them. "
The Charismatic,"There's something odd about her, perhaps it's her hatred or perhaps it's simply a feeling of shame. But nonetheless, people tend to take pride in knowing her, while secretly despising her. "
The Charming,"There's something puzzling about her, perhaps it's a feeling of delight or perhaps it's simply a feeling of indifference. But nonetheless, people tend to stay on her good side, while hoping she will one day be their leader. "
The Charmless,"There's something curious about her, perhaps it's a feeling of comfort or perhaps it's simply her goodwill. But nonetheless, people tend to hit it off with her, while trying to avoid her. "
The Cheerful,"There's something alluring about her, perhaps it's her friendly demeanor or perhaps it's simply a feeling of anguish. But nonetheless, people tend to pretend to be her friend, while wanting to fight along her side in battle. "
The Childish,"There's something appealing about her, perhaps it's her sense of humor or perhaps it's simply her good looks. But nonetheless, people tend to welcome her, while jealousy consumes them. "
The Chummy,"There's something bizarre about her, perhaps it's her presence or perhaps it's simply her decency. But nonetheless, people tend to pretend to be her friend, while awkwardly avoid talking about her past. "
The Circumspect,"There's something charming about her, perhaps it's her sense of honor or perhaps it's simply her unfortunate past. But nonetheless, people tend to share local gossip with her, while trying to hide from her. "
The Clean,"There's something intriguing about her, perhaps it's her suffering or perhaps it's simply a feeling of sadness. But nonetheless, people tend to pretend to be her best friend, while jealousy consumes them. "
The Clearheaded,"There's something bizarre about her, perhaps it's her composure or perhaps it's simply her attitude. But nonetheless, people tend to worship her, while spreading stories about her. "
The Clever,"There's something intriguing about her, perhaps it's her unusual looks or perhaps it's simply her decency. But nonetheless, people tend to take pride in knowing her, while befriending her friends to get closer to her. "
The Clumsy,"There's something enigmatic about her, perhaps it's her decency or perhaps it's simply a feeling of coldness. But nonetheless, people tend to keep their distance, while hoping she will one day be their leader. "
The Coarse,"There's something appealing about her, perhaps it's her kindness or perhaps it's simply a feeling of regret. But nonetheless, people tend to ask her about her adventures, while trying to please her. "
The Cold,"There's something different about her, perhaps it's her warmth or perhaps it's simply her decency. But nonetheless, people tend to worship her, while trying to subtly stare. "
The Colorful,"There's something appealing about her, perhaps it's a feeling of guilt or perhaps it's simply her good will. But nonetheless, people tend to wish to get to know her better, while trying to hide from her. "
The Companionably,"There's something curious about her, perhaps it's her sensitivity or perhaps it's simply her kindness. But nonetheless, people tend to keep their distance, while wanting to fight along her side in battle. "
The Compassionate,"There's something enigmatic about her, perhaps it's her patience or perhaps it's simply her hatred. But nonetheless, people tend to welcome her, while trying to avoid her. "
The Competitive,"There's something fascinating about her, perhaps it's her reputation or perhaps it's simply her clumsiness. But nonetheless, people tend to treat her like family, while spreading stories about her. "
The Complacent,"There's something seductive about her, perhaps it's her hatred or perhaps it's simply her sense of justice. But nonetheless, people tend to pretend to be her friend, while wishing they were more like her. "
The Complainant,"There's something bizarre about her, perhaps it's a feeling of arrogance or perhaps it's simply her sense of comradely But nonetheless, people tend to stay on her good side, while secretly admiring her. "
The Complex,"There's something fascinating about her, perhaps it's a feeling of regret or perhaps it's simply a feeling of shame. But nonetheless, people tend to thank her for her service, while spreading rumors about her behind her back. "
The Compulsive,"There's something puzzling about her, perhaps it's her odd friends or perhaps it's simply her decency. But nonetheless, people tend to flock towards her, while hoping to one day follow in her footsteps. "
The Conceited,"There's something charming about her, perhaps it's her good will or perhaps it's simply a feeling of arrogance But nonetheless, people tend to worship her, while hoping to one day follow in her footsteps. "
The Conciliatory,"There's something odd about her, perhaps it's a feeling of joy or perhaps it's simply her kindness. But nonetheless, people tend to wish to get to know her better, while learning as much about her as possible. "
The Confident,"There's something enticing about her, perhaps it's a feeling of joy or perhaps it's simply her sense of justice. But nonetheless, people tend to ask her about her latest victory, while trying to please her. "
The Confidential,"There's something puzzling about her, perhaps it's a feeling of remorse or perhaps it's simply her kindness. But nonetheless, people tend to pretend to be her friend, while trying to subtly look more like her. "
The Conformist,"There's something enticing about her, perhaps it's her painful past or perhaps it's simply her odd companions. But nonetheless, people tend to wish to get to know her better, while secretly training to become more like her. "
The Confused,"There's something obscure about her, perhaps it's a feeling of hospitality or perhaps it's simply her gentleness. But nonetheless, people tend to welcome her with open arms, while trying to hide from her. "
