,NAME,LENGTH,Notes
0,Abad,998,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Abbas,,
2,Abe,,
3,Abraham,,
4,Acosta,,
5,Adams,,
6,Agarwal,,
7,Aggarwal,,
8,Agrawal,,
9,Aguilar,,
10,Aguinaldo,,
11,Agustin,,
12,Ahmad,,
13,Ahmed,,
14,Ahn,,
15,Ahuja,,
16,Akhtar,,
17,Alam,,
18,Alcantara,,
19,Alexander,,
20,Alfonso,,
21,Ali,,
22,Allen,,
23,Alonzo,,
24,Alvarez,,
25,Amin,,
26,An,,
27,Anand,,
28,Ancheta,,
29,Anderson,,
30,Andres,,
31,Ang,,
32,Angeles,,
33,Ansari,,
34,Antonio,,
35,Anwar,,
36,Aoki,,
37,Aquino,,
38,Arakaki,,
39,Arellano,,
40,Arora,,
41,Ashraf,,
42,Aslam,,
43,Asuncion,,
44,Atienza,,
45,Au,,
46,Austria,,
47,Auyeung,,
48,Aziz,,
49,Bae,,
50,Baek,,
51,Bai,,
52,Baig,,
53,Bailey,,
54,Bains,,
55,Bajwa,,
56,Baker,,
57,Ballesteros,,
58,Baltazar,,
59,Banerjee,,
60,Bang,,
61,Banh,,
62,Bartolome,,
63,Bautista,,
64,Begum,,
65,Bell,,
66,Beltran,,
67,Bennett,,
68,Bernardo,,
69,Bhagat,,
70,Bhakta,,
71,Bhat,,
72,Bhatia,,
73,Bhatt,,
74,Bhatti,,
75,Blanco,,
76,Borja,,
77,Brar,,
78,Briones,,
79,Brooks,,
80,Brown,,
81,Bui,,
82,Butt,,
83,Byun,,
84,Cabrera,,
85,Cai,,
86,Camacho,,
87,Campbell,,
88,Campos,,
89,Canlas,,
90,Cao,,
91,Carino,,
92,Carlos,,
93,Carter,,
94,Castaneda,,
95,Castillo,,
96,Castro,,
97,Cha,,
98,Chacko,,
99,Chae,,
100,Chai,,
101,Chan,,
102,Chand,,
103,Chandra,,
104,Chang,,
105,Chanthavong,,
106,Chao,,
107,Chatterjee,,
108,Chau,,
109,Chaudhary,,
110,Chaudhry,,
111,Chauhan,,
112,Chavez,,
113,Chawla,,
114,Che,,
115,Chea,,
116,Chee,,
117,Cheema,,
118,Chen,,
119,Cheng,,
120,Cheong,,
121,Cherian,,
122,Cheung,,
123,Chew,,
124,Chi,,
125,Chia,,
126,Chiang,,
127,Chien,,
128,Chin,,
129,Ching,,
130,Chinn,,
131,Chiu,,
132,Cho,,
133,Choe,,
134,Choi,,
135,Chon,,
136,Chong,,
137,Choo,,
138,Chopra,,
139,Chou,,
140,Choudhury,,
141,Chow,,
142,Chowdhury,,
143,Choy,,
144,Chu,,
145,Chua,,
146,Chuang,,
147,Chui,,
148,Chun,,
149,Chung,,
150,Clark,,
151,Co,,
152,Collins,,
153,Concepcion,,
154,Cook,,
155,Cooper,,
156,Cordero,,
157,Corpuz,,
158,Cortez,,
159,Cox,,
160,Crisostomo,,
161,Cristobal,,
162,Cruz,,
163,Cui,,
164,Cunanan,,
165,Custodio,,
166,Dai,,
167,Dalal,,
168,Dam,,
169,Dang,,
170,Daniel,,
171,Dao,,
172,Das,,
173,Datta,,
174,Dave,,
175,David,,
176,Davis,,
177,Decastro,,
178,Deguzman,,
179,Dejesus,,
180,Delacruz,,
181,Delarosa,,
182,Deleon,,
183,Delosreyes,,
184,Delossantos,,
185,Delrosario,,
186,Deng,,
187,Desai,,
188,Deshpande,,
189,Desilva,,
190,Devera,,
191,Dhaliwal,,
192,Dhillon,,
193,Diaz,,
194,Diep,,
195,Ding,,
196,Dinh,,
197,Dizon,,
198,Do,,
199,Doan,,
200,Doi,,
201,Domingo,,
202,Dominguez,,
203,Dong,,
204,Doshi,,
205,Dsouza,,
206,Du,,
207,Duong,,
208,Dy,,
209,Edwards,,
210,Endo,,
211,Eng,,
212,Enriquez,,
213,Esguerra,,
214,Espinosa,,
215,Espiritu,,
216,Esteban,,
217,Estrada,,
218,Evangelista,,
219,Evans,,
220,Fajardo,,
221,Fan,,
222,Fang,,
223,Feng,,
224,Fernandes,,
225,Fernandez,,
226,Fernando,,
227,Ferrer,,
228,Flores,,
229,Fong,,
230,Foo,,
231,Foster,,
232,Francis,,
233,Francisco,,
234,Franco,,
235,Fu,,
236,Fujii,,
237,Fujimoto,,
238,Fujita,,
239,Fukuda,,
240,Fung,,
241,Gabriel,,
242,Galang,,
243,Galvez,,
244,Gamboa,,
245,Gan,,
246,Gandhi,,
247,Gao,,
248,Garcia,,
249,Garg,,
250,Gee,,
251,George,,
252,Ghosh,,
253,Giang,,
254,Gill,,
255,Gin,,
256,Go,,
257,Goel,,
258,Goh,,
