,NAME,LENGTH,Notes
0,Adela,304,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Adelaide,,
2,Admiranda,,
3,Aeditha,,
4,Aelina,,
5,Agnys,,
6,Ailsa,,
7,Alainne,,
8,Alianore,,
9,Alice,,
10,Alison,,
11,Aliyn,,
12,Alyne,,
13,Alys,,
14,Amelia,,
15,Amice,,
16,Amphelice,,
17,Amser,,
18,Angelet,,
19,Anna,,
20,Annabel,,
21,Anne,,
22,Anthoinette,,
23,Anys,,
24,Arabella,,
25,Ariyne,,
26,Arlette,,
27,Atilda,,
28,Aubrey,,
29,Audrye,,
30,Autumn,,
31,Autumn,,
32,Ava,,
33,Avelin,,
34,Avelyn,,
35,Averil,,
36,Ayleth,,
37,Baterich,,
38,Bathsua,,
39,Beatrix,,
40,Bellinda,,
41,Bertana,,
42,Berte,,
43,Bess,,
44,Brangwine,,
45,Braya,,
46,Breena,,
47,Bretta,,
48,Brunhild,,
49,Bryde,,
50,Cacia,,
51,Caesaria,,
52,Carmen,,
53,Carroll,,
54,Casandra,,
55,Cathirind,,
56,Cecilia,,
57,Cecily,,
58,Celeste,,
59,Celestine,,
60,Celestria,,
61,Cenota,,
62,Charmaine,,
63,Chloe,,
64,Chrissa,,
65,Christabel,,
66,Cicely,,
67,Clarimond,,
68,Claudia,,
69,Clemence,,
70,Collys,,
71,Comet,,
72,Concessa,,
73,Constance,,
74,Cornelia,,
75,Crestian,,
76,Cristiana,,
77,Cwengyth,,
78,Cyndra,,
79,Cynewyn,,
80,Damaris,,
81,Dametta,,
82,Darcel,,
83,Decima,,
84,Deirdre,,
85,Deloys,,
86,Denys,,
87,Diamanda,,
88,Dionisia,,
89,Dominy,,
90,Dorcas,,
91,Dorothe,,
92,Durilda,,
93,Dyana,,
94,Edelinne,,
95,Edithe,,
96,Eilonwy,,
97,Elaisse,,
98,Elan,,
99,Ele,,
100,Eleanor,,
101,Elewys,,
102,Ellerete,,
103,Ellie,,
104,Elsebee,,
105,Elspeth,,
106,Elyn,,
107,Elynor,,
108,Elyzabeth,,
109,Emblyn,,
110,Emeline,,
111,Emeny,,
112,Emeria,,
113,Emery,,
114,Emilie,,
115,Emlinie,,
116,Emmeline,,
117,Emmet,,
118,Eschina,,
119,Eschiva,,
120,Esdeline,,
121,Esmenet,,
122,Estienne,,
123,Estrild,,
124,Ethelia,,
125,Eugenia,,
126,Eustacia,,
127,Eva,,
128,Eve,,
129,Evelyn,,
130,Faline,,
131,Fallyn ,,
132,Felice,,
133,Florens,,
134,Frances,,
135,Francisca,,
136,Frideswide,,
137,Fridgia,,
138,Gaynor,,
139,Genevieve,,
140,Germainne,,
141,Gethrude,,
142,Gia,,
143,Gillian,,
144,Giselle,,
145,Giselle,,
146,Gladly,,
147,Glenda,,
148,Glenda,,
149,Gloriana,,
150,Guinevere,,
151,Gwaeddan,,
152,Gylda,,
153,Hazel,,
154,Helena,,
155,Helenor,,
156,Helvynya,,
157,Hester,,
158,Hilda,,
159,Hildegard,,
160,Hilith,,
161,Imedia,,
162,Iona,,
163,Isabella,,
164,Isemeine,,
165,Ismay,,
166,Ismenia,,
167,Isolde,,
168,Jaane,,
169,Jacquette,,
170,Jannet,,
171,Jeanne,,
172,Jellion,,
173,Jemime,,
174,Jenet,,
175,Jenyfer,,
176,Jessamine,,
177,Jillian,,
178,Jocea,,
179,Jocelyn,,
180,Joleicia,,
181,Jolline,,
182,Josephine,,
183,Josian,,
184,Josiane,,
185,Joyse,,
186,Judithe,,
187,Judye,,
188,Juliana,,
189,Julyan,,
190,June,,
191,Justina,,
192,Kane,,
193,Katelyn,,
194,Kath,,
195,Katherine,,
196,Katrine,,
197,Keanna,,
198,Kinborow,,
199,Latisha,,
200,Lauda,,
201,Leofwen,,
202,Leofwynn,,
203,Letita,,
204,Lettice,,
205,Lia,,
206,Lily,,
207,Linette,,
208,Linyeve,,
209,Lora,,
210,Lynelle,,
211,Madailein,,
212,Maddeline,,
213,Maerwynn,,
214,Maia,,
215,Maisenta,,
216,Maive,,
217,Malin,,
218,Maoli,,
219,Marcail,,
220,Margarete,,
221,Margeria,,
222,Margry,,
223,Maria,,
224,Maronne,,
225,Marsilia,,
226,Martine,,
227,Mathild,,
228,Megdn,,
229,Melodie,,
230,Melusine,,
231,Meredithe,,
232,Merewyn,,
233,Merilda,,
234,Meryell,,
235,Millicent,,
236,Minerva,,
237,Mirabelle,,
238,Morgandy,,
