,NAME,LENGTH,Notes
0,Aache,4199,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Aanwas,,
2,Aaron,,
3,Abaet,,
4,Abarden,,
5,Abbadon,,
6,Abbe,,
7,Abbo,,
8,Aberbysion,,
9,Abeyaratne,,
10,Aboloft,,
11,Abril,,
12,Abthony,,
13,Abu,,
14,Acamen,,
15,Acear,,
16,Acele,,
17,Acence,,
18,Achalla,,
19,Achard,,
20,Achilles,,
21,Acholate,,
22,Ackmard,,
23,Acorn,,
24,Ada,,
25,Adame,,
26,Adaon,,
27,Adeen,,
28,Adena,,
29,Adiannon,,
30,Adoma,,
31,Adon,,
32,Adorra,,
33,Adric,,
34,Advoc,,
35,Aegir,,
36,Aeglaeca,,
37,Aenas,,
38,Aerden,,
39,Aerin,,
40,Aerinha,,
41,Aesa,,
42,Aette,,
43,Aevor,,
44,Afflon,,
45,Agamemon,,
46,Ageon,,
47,Aghon,,
48,Agmemon,,
49,Agnar,,
50,Agnvala,,
51,Agravaine,,
52,Agrippa,,
53,Agsded,,
54,Ahalfar,,
55,Ahanna,,
56,Ahburn,,
57,Ahdun,,
58,Aidan,,
59,Ailion,,
60,Airen,,
61,Airis,,
62,Airk,,
63,Ajax,,
64,Akara,,
65,Akassa,,
66,Akia,,
67,Akkad,,
68,Akki,,
69,Akvar,,
70,Al-Rashid,,
71,Alabama,,
72,Aladan,,
73,Alan,,
74,Alandis,,
75,Alaric,,
76,Alarion,,
77,Alaris,,
78,Alayne,,
79,Alberon,,
80,Albright,,
81,Aldaren,,
82,Aldden,,
83,Alderman,,
84,Aldmor,,
85,Aldor,,
86,Aldren,,
87,Aldwin,,
88,Alec,,
89,Aleemy,,
90,Alek,,
91,Alenthe,,
92,Alexander,,
93,Alfred,,
94,Alfwyn,,
95,Alfy,,
96,Algween,,
97,Alia,,
98,Alic,,
99,Alidore,,
100,Alio,,
101,Alixa,,
102,Alkirk,,
103,Allso,,
104,Almude,,
105,Alor,,
106,Alos,,
107,Aloysius,,
108,Alsvider,,
109,Aluatis,,
110,Aluca,,
111,Aluna,,
112,Alver,,
113,Alveron,,
114,Alvy,,
115,Alys,,
116,Amaerilde,,
117,Amara,,
118,Amarisa,,
119,Amarizi,,
120,Amatin,,
121,Amber,,
122,Amberscand,,
123,Ambros,,
124,Ambrose,,
125,Ambrosius,,
126,Amburgalas,,
127,Ament,,
128,Amerdan,,
129,Ames,,
130,Amethyst,,
131,Amintor,,
132,Amitel,,
133,Amivar,,
134,Amloth,,
135,Ammaranza,,
136,Amok,,
137,Amorine,,
138,Amoth,,
139,Ampria,,
140,Amren,,
141,Ana,,
142,Andal,,
143,Andeler,,
144,Andonna,,
145,Andraut,,
146,Andrew,,
147,Andvarii,,
148,Andya,,
149,Aneirin,,
150,Anfar,,
151,Angel,,
152,Angelina,,
153,Angur,,
154,Ani,,
155,Aniun,,
156,Anmuspi,,
157,Annalyn,,
158,Annion,,
159,Annubi,,
160,Annyk,,
161,Ans,,
162,Ansar,,
163,Ansell,,
164,Anson,,
165,Antar,,
166,Anthony,,
167,Anthro,,
168,Antii,,
169,Anumi,,
170,Anumil,,
171,Anval,,
172,Aoea,,
173,Apollyon,,
174,Apore,,
175,April,,
176,Aquinas,,
177,Arade,,
178,Aradise,,
179,Arak,,
180,Arakis,,
181,Aral,,
182,Aramcham,,
183,Aramsham,,
184,Aran,,
185,Aranor,,
186,Arasu,,
187,Arath,,
188,Arawn,,
189,Arbagon,,
190,Arboran,,
191,Archane,,
192,Archman,,
193,Arcy,,
194,Arden,,
195,Arenith,,
196,Argon,,
197,Ariannona,,
198,Aric,,
199,Ariel,,
200,Arienthil,,
201,Aries,,
202,Arimaspia,,
203,Arina,,
204,Ariome,,
205,Arion,,
206,Arithin,,
207,Arizona,,
208,Arl,,
209,Arlbeth,,
210,Arleenan,,
211,Arminius,,
212,Arngrim,,
213,Arnt,,
214,Arole,,
215,Arrakis,,
216,Arryn,,
217,Arther,,
218,Arthur,,
219,Artor,,
220,Arvene,,
221,Arzheviel,,
222,Asa,,
223,Asada,,
224,Asbrand,,
225,Asden,,
226,Asdern,,
227,Asen,,
228,Asha,,
229,Ashlin,,
230,Aslan,,
231,Aslane,,
232,Asleen,,
233,Asmen,,
234,Asmund,,
235,Asoka,,
236,Asperon,,
237,Aspes,,
238,Astar,,
239,Astaulf,,
240,Astea,,
241,Aster,,
242,Astire,,
243,Astro,,
244,Astrol,,
245,Asuraka,,
246,Atar,,
247,Aten,,
248,Atgur,,
249,Athana,,
250,Athane,,
251,Athen,,
252,Atherni,,
253,Athiss,,
254,Atiaran,,
255,Atiarn,,
256,Atili,,
257,Atlantes,,
258,Atlin,,
259,Aton,,
260,Ator,,
261,Atrak,,
262,Attacotti,,
263,Attew,,
264,Attila,,
265,Auburn,,
266,Auchfor,,
267,Auden,,
268,Audh,,
269,Augustus,,
270,Ault,,
271,Auma,,
272,Aurelius,,
273,Aurion,,
274,Aurora,,
275,Austill,,
276,Austri,,
277,Autumntide,,
278,Auvien,,
279,Avedar,,
280,Avel,,
281,Aveline,,
282,Avil,,
283,Avitus,,
284,Avllach,,
285,Avride,,
286,Avtar,,
287,Awile,,
288,Awnia,,
289,Axeth,,
290,Ayat,,
291,Ayesh,,
292,Ayesha,,
293,Ayne,,
294,Ayrie,,
295,Aysen,,
296,Azhar,,
297,Azimir,,
298,Azreal,,
299,Azuela,,
300,Bacohl,,
301,Badeek,,
302,Baduk,,
303,Baeron,,
304,Bahir,,
305,Bahrair,,
306,Baily,,
307,Balain,,
308,Balati,,
309,Balderon,,
310,Baldulf,,
311,Baldur,,
312,Ballar,,
313,Balzar,,
314,Bam-Bam,,
315,Ban,,
316,Bana,,
317,Bando,,
318,Bane,,
319,Banheen,,
320,Banipal,,
321,Bann,,
