,NAME,LENGTH,Notes
0,Addison,304,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Addolgar,,
2,Alaire,,
3,Albin,,
4,Aldebrand,,
5,Aldous,,
6,Alessandro,,
7,Aleyn,,
8,Alistair,,
9,Amari,,
10,Amathaon,,
11,Ancelot,,
12,Anselm,,
13,Aonghus,,
14,Apowen,,
15,Aran,,
16,Arnald,,
17,Arnott,,
18,Arthur,,
19,Augustine,,
20,Awstin,,
21,Aylmer,,
22,Baderon,,
23,Baeddan,,
24,Baldric,,
25,Bardolf,,
26,Bartholomew,,
27,Bayard,,
28,Beiste,,
29,Belmont,,
30,Benedict,,
31,Beneger,,
32,Bernard,,
33,Berndan,,
34,Bertram,,
35,Bertrand,,
36,Blackburn,,
37,Blain,,
38,Blavier,,
39,Bouchard,,
40,Boyle,,
41,Bran,,
42,Brice,,
43,Brien,,
44,Broderick,,
45,Bruce,,
46,Bruno,,
47,Byron,,
48,Cace,,
49,Cadwr,,
50,Cain,,
51,Cameron,,
52,Caplan,,
53,Carmine,,
54,Casnar,,
55,Caspar,,
56,Ceadda,,
57,Ceardach,,
58,Ceithin,,
59,Chamberlain,,
60,Charlys,,
61,Chartain,,
62,Claudien,,
63,Clifton,,
64,Clive,,
65,Cole,,
66,Colson,,
67,Conor,,
68,Conphas,,
69,Cornell,,
70,Coster,,
71,Cumhea,,
72,Cutbert,,
73,Cuthbert,,
74,Cyriac,,
75,Daimbert,,
76,Dalmas,,
77,Danyell,,
78,Dauid,,
79,Davidon ,,
80,Davyd,,
81,Dawson,,
82,Deitrich,,
83,Denston,,
84,Derwin,,
85,Deryk,,
86,Donner,,
87,Drake,,
88,Drew,,
89,Drych,,
90,Drystan,,
91,Dunn,,
92,Eadbert,,
93,Ealdwine,,
94,Edmund,,
95,Edwyn,,
96,Eilig,,
97,Eldred,,
98,Eleazar,,
99,Emanuel,,
100,Emerick,,
101,Erasmus,,
102,Erik,,
103,Eriyn,,
104,Esmond,,
105,Esmour,,
106,Esperaunce,,
107,Etgar,,
108,Ethelbert,,
109,Ethelred,,
110,Eus ,,
111,Eustace,,
112,Evyn,,
113,Fawkes,,
114,Fiebras,,
115,Flambard,,
116,Folke,,
117,Foxe,,
118,Francis,,
119,Fred ,,
120,Frederick,,
121,Frederyk,,
122,Fulke,,
123,Galfrid,,
124,Ganelon,,
125,Gared,,
126,Garnock,,
127,Gauwyn,,
128,Gembert,,
129,Geoffrey,,
130,Gerald,,
131,Gerbold,,
132,Gerhardt,,
133,Gerland,,
134,Goddard,,
135,Godebert,,
136,Godfrey,,
137,Gregory,,
138,Grimbald,,
139,Gryffen,,
140,Guston,,
141,Gwayne,,
142,Gylbart,,
143,Gyles,,
144,Habreham,,
145,Hadrian,,
146,Haimirich,,
147,Halstein,,
148,Hamon,,
149,Heinlein,,
150,Hewrey,,
151,Humphrey,,
152,Ingham,,
