,NAME,LENGTH,Notes
0,Garcia,999,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Abarca,,
2,Abeyta,,
3,Abrego,,
4,Abreu,,
5,Acevedo,,
6,Aceves,,
7,Acosta,,
8,Acuna,,
9,Adame,,
10,Adams,,
11,Agosto,,
12,Aguayo,,
13,Aguero,,
14,Aguila,,
15,Aguilar,,
16,Aguilera,,
17,Aguirre,,
18,Ahumada,,
19,Alanis,,
20,Alaniz,,
21,Alarcon,,
22,Alba,,
23,Albarran,,
24,Alcala,,
25,Alcantar,,
26,Alcantara,,
27,Alcaraz,,
28,Aldana,,
29,Alegria,,
30,Alejandro,,
31,Aleman,,
32,Alexander,,
33,Alfaro,,
34,Alfonso,,
35,Alicea,,
36,Allen,,
37,Almaguer,,
38,Almanza,,
39,Almaraz,,
40,Almazan,,
41,Almeida,,
42,Almonte,,
43,Alonso,,
44,Alonzo,,
45,Altamirano,,
46,Alva,,
47,Alvarado,,
48,Alvarenga,,
49,Alvares,,
50,Alvarez,,
51,Amador,,
52,Amaro,,
53,Amaya,,
54,Ambriz,,
55,Amezcua,,
56,Anaya,,
57,Anderson,,
58,Andino,,
59,Andrade,,
60,Angel,,
61,Angeles,,
62,Anguiano,,
63,Angulo,,
64,Antonio,,
65,Aparicio,,
66,Apodaca,,
67,Aponte,,
68,Aquino,,
69,Aragon,,
70,Araiza,,
71,Arambula,,
72,Arana,,
73,Aranda,,
74,Arango,,
75,Araujo,,
76,Arce,,
77,Archuleta,,
78,Arellano,,
79,Arenas,,
80,Arevalo,,
81,Arguello,,
82,Argueta,,
83,Arias,,
84,Armas,,
85,Armendariz,,
86,Armenta,,
87,Armijo,,
88,Arredondo,,
89,Arreguin,,
90,Arreola,,
91,Arriaga,,
92,Arriola,,
93,Arroyo,,
94,Arteaga,,
95,Arvizu,,
96,Ascencio,,
97,Avalos,,
98,Avelar,,
99,Avila,,
100,Aviles,,
101,Avina,,
102,Ayala,,
103,Baca,,
104,Badillo,,
105,Baez,,
106,Baeza,,
107,Bahena,,
108,Bailey,,
109,Baker,,
110,Balderas,,
111,Balderrama,,
112,Ballesteros,,
