,NAME,LENGTH,Notes
0,Ai,79,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Aiko,,
2,Aimi,,
3,Airi,,
4,Akemi,,
5,Amaya,,
6,Anna,,
7,Aoi,,
8,Asuna,,
9,Ayaka,,
10,Ayami,,
11,Ayano,,
12,Beniko,,
13,Chinatsu,,
14,Chiyo,,
15,Chiyoko,,
16,Emi,,
17,Fumiko,,
18,Hana,,
19,Haruka,,
20,Haruna,,
21,Hina,,
22,Hiroko,,
23,Hitomi,,
24,Hotaru,,
25,Kaori,,
26,Kasumi,,
27,Kazuko,,
28,Kazumi,,
29,Keiko,,
30,Kiriko,,
31,Koharu,,
32,Kumiko,,
33,Mai,,
34,Mami,,
35,Mana,,
36,Mayumi,,
37,Megumi,,
38,Mei,,
39,Midori,,
40,Mina,,
41,Misaki,,
42,Miu,,
43,Miyu,,
44,Moe,,
45,Momoko,,
46,Nanami,,
47,Naoko,,
48,Naomi,,
49,Natsuki,,
50,Noriko,,
51,Reika,,
52,Riko,,
53,Rin,,
54,Sachiko,,
55,Sadako,,
56,Saki,,
57,Sakura,,
58,Satsuki,,
59,Sayuri,,
60,Setsuko,,
61,Shigeko,,
62,Shizuka,,
63,Teiko,,
64,Tomoko,,
65,Tomomi,,
66,Umeko,,
67,Yoko,,
68,Yoshiko,,
69,Youko,,
70,Yua,,
71,Yui,,
72,Yukiko,,
73,Yuma,,
74,Yumi,,
75,Yumiko,,
76,Yuna,,
77,Yuriko,,
78,Yuuka,,
79,Yuzuki,,
