,NAME,LENGTH,Notes
0,Akio,74,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Akira,,
2,Daichi,,
3,Daiki,,
4,Daisuke,,
5,Eita,,
6,Gou,,
7,Haruto,,
8,Hayato,,
9,Hiroki,,
10,Hiroshi,,
11,Hiroto,,
12,Isamu,,
13,Itsuki,,
14,Kaito,,
15,Kan,,
16,Katsumi,,
17,Kazuki,,
18,Kazuya,,
19,Keisuke,,
20,Kenta,,
21,Kentaro,,
22,Kenzo,,
23,Kirito,,
24,Kiyoshi,,
25,Kotarou,,
26,Kouhei,,
27,Makoto,,
28,Manabu,,
29,Masahiro,,
30,Masao,,
31,Masaru,,
32,Minato,,
33,Minoru,,
34,Naoki,,
35,Nobu,,
36,Osamu,,
37,Ren,,
38,Riku,,
39,Ryo,,
40,Ryunosuke,,
41,Saburo,,
42,Shigeru,,
43,Shin,,
44,Shinichi,,
45,Shiro,,
46,Sho,,
47,Shota,,
48,Shou,,
49,Shouta,,
50,Shun,,
51,Sora,,
52,Sota,,
53,Souma,,
54,Souta,,
55,Susumu,,
56,Tadashi,,
57,Taiga,,
58,Taiki,,
59,Takashi,,
60,Takeo,,
61,Takeru,,
62,Takeshi,,
63,Takumi,,
64,Takuya,,
65,Tetsuya,,
66,Tsubasa,,
67,Tsuyoshi,,
68,Yamato,,
69,Yoshio,,
70,Yuta,,
71,Yutaka,,
72,Yuto,,
73,Yuudai,,
74,Yuuma,,
