,NAME,LENGTH,Notes
0,Abe,989,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Abukara,,
2,Adachi,,
3,Aida,,
4,Aihara,,
5,Aizawa,,
6,Ajibana,,
7,Akaike,,
8,Akamatsu,,
9,Akatsuka,,
10,Akechi,,
11,Akera,,
12,Akimoto,,
13,Akita,,
14,Akiyama,,
15,Akutagawa,,
16,Amagawa,,
17,Amaya,,
18,Amori,,
19,Anami,,
20,Ando,,
21,Anzai,,
22,Aoki,,
23,Arai,,
24,Arakawa,,
25,Araki,,
26,Arakida,,
27,Arato,,
28,Arihyoshi,,
29,Arishima,,
30,Arita,,
31,Ariwa,,
32,Ariwara,,
33,Asahara,,
34,Asahi,,
35,Asai,,
36,Asano,,
37,Asanuma,,
38,Asari,,
39,Ashia,,
40,Ashida,,
41,Ashikaga,,
42,Asuhara,,
43,Atshushi,,
44,Ayabito,,
45,Ayugai,,
46,Baba,,
47,Baisotei,,
48,Bando,,
49,Bunya,,
50,Chiba,,
51,Chikamatsu,,
52,Chikanatsu,,
53,Chino,,
54,Chishu,,
55,Choshi,,
56,Daishi,,
57,Dan,,
58,Date,,
59,Dazai,,
60,Deguchi,,
61,Deushi,,
62,Doi,,
63,Ebina,,
64,Ebisawa,,
65,Eda,,
66,Egami,,
67,Eguchi,,
68,Ekiguchi,,
69,Endo,,
70,Endoso,,
71,Enoki,,
72,Enomoto,,
73,Erizawa,,
74,Eto,,
75,Etsuko,,
76,Ezakiya,,
77,Fuchida,,
78,Fugunaga,,
79,Fujikage,,
80,Fujimaki,,
81,Fujimoto,,
82,Fujioka,,
83,Fujishima,,
84,Fujita,,
85,Fujiwara,,
86,Fukao,,
87,Fukayama,,
88,Fukuda,,
89,Fukumitsu,,
90,Fukunaka,,
91,Fukuoka,,
92,Fukusaku,,
93,Fukushima,,
94,Fukuyama,,
95,Fukuzawa,,
96,Fumihiko,,
97,Funabashi,,
98,Funaki,,
99,Funakoshi,,
100,Furusawa,,
101,Fuschida,,
102,Fuse,,
103,Futabatei,,
104,Fuwa,,
105,Gakusha,,
106,Genda,,
107,Genji,,
108,Gensai,,
109,Godo,,
110,Goto,,
111,Gushiken,,
112,Hachirobei,,
113,Haga,,
114,Hagino,,
115,Hagiwara,,
116,Hama,,
117,Hamacho,,
118,Hamada,,
119,Hamaguchi,,
120,Hamamoto,,
121,Hanabusa,,
122,Hanari,,
123,Handa,,
124,Hara,,
125,Harada,,
126,Haruguchi,,
127,Hasegawa,,
128,Hasekura,,
129,Hashimoto,,
130,Hasimoto,,
131,Hatakeda,,
132,Hatakeyama,,
133,Hatayama,,
134,Hatoyama,,
135,Hattori,,
136,Hayakawa,,
137,Hayami,,
138,Hayashi,,
139,Hayashida,,
140,Hayata,,
141,Hayuata,,
142,Hida,,
143,Hideaki,,
144,Hideki,,
145,Hideyoshi,,
146,Higashikuni,,
147,Higashiyama,,
148,Higo,,
149,Higoshi,,
150,Higuchi,,
151,Hike,,
152,Hino,,
153,Hira,,
154,Hiraga,,
155,Hiraki,,
156,Hirano,,
157,Hiranuma,,
158,Hiraoka,,
159,Hirase,,
160,Hirasi,,
161,Hirata,,
162,Hiratasuka,,
163,Hirayama,,
164,Hiro,,
165,Hirose,,
166,Hirota,,
167,Hiroyuki,,
168,Hisamatsu,,
169,Hishida,,
170,Hishikawa,,
171,Hitomi,,
172,Hiyama,,
173,Hohki,,
174,Hojo,,
175,Hokusai,,
176,Honami,,
177,Honda,,
178,Hori,,
179,Horigome,,
180,Horigoshi,,
181,Horiuchi,,
182,Hoshino,,
183,Hosokawa,,
184,Hosokaya,,
185,Hotate,,
186,Hotta,,
187,Hyata,,
188,Hyobanshi,,
189,Ibi,,
190,Ibu,,
191,Ibuka,,
192,Ichigawa,,
193,Ichihara,,
194,Ichikawa,,
195,Ichimonji,,
196,Ichiro,,
197,Ichisada,,
198,Ichiyusai,,
199,Idane,,
200,Iemochi,,
201,Ienari,,
202,Iesada,,
203,Ieyasu,,
204,Ieyoshi,,
205,Igarashi,,
206,Ihara,,
207,Ii,,
208,Iida,,
209,Iijima,,
210,Iitaka,,
211,Ijichi,,
212,Ijiri,,
213,Ikeda,,
214,Ikina,,
215,Ikoma,,
216,Imada,,
217,Imagawa,,
218,Imai,,
219,Imaizumi,,
220,Imamura,,
221,Imoo,,
222,Ina,,
223,Inaba,,
224,Inao,,
225,Inihara,,
226,Ino,,
227,Inoguchi,,
228,Inokuma,,
229,Inoue,,
230,Inouye,,
231,Inukai,,
232,Ippitsusai,,
233,Irie,,
234,Iriye,,
235,Isayama,,
236,Ise,,
237,Iseki,,
238,Iseya,,
239,Ishibashi,,
240,Ishida,,
241,Ishiguro,,
242,Ishihara,,
243,Ishikawa,,
244,Ishimaru,,
245,Ishimura,,
246,Ishinomori,,
247,Ishiyama,,
248,Isobe,,
249,Isoda,,
250,Isozaki,,
251,Itagaki,,
252,Itami,,
253,Ito,,
254,Itoh,,
255,Iwahara,,
256,Iwahashi,,
257,Iwakura,,
258,Iwasa,,
259,Iwasaki,,
260,Izumi,,
261,Jimbo,,
262,Jippensha,,
263,Jo,,
264,Joshuya,,
265,Joshuyo,,
266,Jukodo,,
267,Jumonji,,
268,Kada,,
269,Kagabu,,
270,Kagawa,,
271,Kahae,,
272,Kahaya,,
273,Kaibara,,
274,Kaima,,
275,Kajahara,,
276,Kajitani,,
277,Kajiwara,,
278,Kajiyama,,
