,NAME,LENGTH,Notes
0,Abbie,315,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Abby,,
2,Abe,,
3,Ada,,
4,Addy,,
5,Aggy,,
6,Al,,
7,Alex,,
8,Allie,,
9,Andy,,
10,Ann,,
11,Annie,,
12,Ara,,
13,Archie,,
14,Arly,,
15,Art,,
16,Babs,,
17,Barbie,,
18,Barney,,
19,Bart,,
20,Bea,,
21,Becca,,
22,Becky,,
23,Bella,,
24,Belle,,
25,Ben,,
26,Benjy,,
27,Bennie,,
28,Berny,,
29,Bert,,
30,Bess,,
31,Beth,,
32,Betsy,,
33,Betty,,
34,Bill,,
35,Billy,,
36,Birdie,,
37,Birtie,,
38,Bob,,
39,Bobbie,,
40,Bobby,,
41,Brad,,
42,Brody,,
43,Cal,,
44,Cammie,,
45,Carl,,
46,Carol,,
47,Cassie,,
48,Cathy,,
49,Charlie,,
50,Chet,,
51,Chris,,
52,Chuck,,
53,Cindy,,
54,Clara,,
55,Cliff,,
56,Connie,,
57,Crissy,,
58,Curt,,
59,Cy,,
60,Dan,,
61,Danny,,
62,Dave,,
63,Davey,,
64,Deb,,
65,Debbie,,
66,Dee,,
67,Del,,
68,Della,,
69,Dennie,,
70,Dennis,,
71,Denny,,
72,Dick,,
73,Dolly,,
74,Dom,,
75,Don,,
76,Donnie,,
77,Donny,,
78,Dora,,
79,Dot,,
80,Dottie,,
81,Dotty,,
82,Drew,,
83,Ed,,
84,Eddie,,
85,Eddy,,
86,Edie,,
87,Edye,,
88,Elaine,,
89,Ella,,
90,Ellen,,
91,Emily,,
92,Emma,,
93,Eve,,
94,Fay,,
95,Flo,,
96,Flora,,
97,Fran,,
98,Francie,,
99,Frank,,
100,Frankie,,
101,Frannie,,
102,Franny,,
103,Fred,,
104,Freda,,
105,Freddie,,
106,Freddy,,
107,Gabby,,
108,Gabe,,
109,Gail,,
110,Gene,,
111,Geoff,,
112,George,,
113,Gerrie,,
114,Gerry,,
115,Gertie,,
116,Gil,,
117,Gina,,
118,Gretta,,
119,Gus,,
120,Gwen,,
121,Hal,,
122,Hank,,
123,Hannah,,
124,Harry,,
125,Hattie,,
126,Henny,,
127,Herb,,
128,Hetty,,
129,Hipsie,,
130,Hugh,,
131,Iggy,,
132,Issy,,
133,Izzy,,
134,Jake,,
135,Jamie,,
136,Jan,,
137,Jay,,
138,Jean,,
139,Jeb,,
140,Jeff,,
141,Jennie,,
142,Jenny,,
143,Jerry,,
144,Jessie,,
145,Jim,,
146,Jimmie,,
147,Jimmy,,
148,Jo,,
149,Jody,,
150,Joe,,
151,Joey,,
152,John,,
153,Jon,,
154,Josey,,
155,Josh,,
156,Joy,,
157,Judy,,
158,Julie,,
159,Kate,,
160,Kathy,,
161,Katy,,
162,Kay,,
163,Kaye,,
164,Ken,,
165,Kenny,,
166,Kim,,
167,Larry,,
168,Lee,,
169,Lena,,
170,Lenny,,
171,Leo,,
172,Leon,,
173,Les,,
174,Libby,,
175,Lilly,,
176,Linda,,
177,Lisa,,
178,Liz,,
179,Lizzie,,
180,Lois,,
181,Lorie,,
182,Lou,,
183,Lucy,,
184,Luke,,
185,Lynn,,
186,Maddy,,
187,Madge,,
188,Madie,,
189,Maggie,,
190,Maggy,,
191,Mandy,,
192,Marge,,
193,Margie,,
194,Margy,,
195,Mark,,
196,Marty,,
197,Marv,,
198,Matt,,
199,Maud,,
200,Mel,,
201,Merv,,
202,Mick,,
203,Mickey,,
204,Mike,,
205,Mindy,,
206,Minnie,,
207,Missy,,
208,Mitch,,
209,Monty,,
210,Nat,,
211,Nate,,
212,Nathan,,
213,Neil,,
214,Newt,,
215,Nick,,
216,Nickie,,
217,Nora,,
218,Obie,,
219,Ollie,,
220,Ozzy,,
221,Pat,,
222,Patsy,,
223,Patty,,
224,Peggy,,
225,Penny,,
226,Pete,,
227,Phil,,
228,Polly,,
229,Prissy,,
230,Prudy,,
231,Randy,,
232,Ray,,
233,Reba,,
234,Reggie,,
235,Rena,,
236,Rich,,
237,Richie,,
238,Rick,,
239,Ricky,,
240,Rob,,
241,Robby,,
242,Rod,,
243,Ron,,
244,Ronnie,,
245,Ronny,,
246,Rose,,
247,Roz,,
248,Rube,,
249,Rudy,,
250,Russ,,
251,Rusty,,
252,Sal,,
253,Sam,,
254,Sammy,,
255,Sandra,,
256,Sandy,,
257,Scott,,
258,Scotty,,
259,Shelly,,
260,Sherry,,
261,Sly,,
262,Stella,,
263,Steph,,
264,Steve,,
265,Sue,,
266,Sully,,
267,Susie,,
268,Tabby,,
269,Ted,,
270,Teddy,,
271,Terry,,
272,Tess,,
273,Tessa,,
274,Tessie,,
275,Thad,,
276,Theo,,
277,Thom,,
278,Tilla,,
279,Tim,,
280,Timmy,,
281,Tina,,
282,Tish,,
283,Tisha,,
284,Toby,,
285,Tom,,
286,Tommy,,
287,Tony,,
288,Tori,,
289,Torie,,
290,Torri,,
291,Torrie,,
292,Tory,,
293,Trisha,,
294,Trixie,,
295,Trudy,,
296,Val,,
297,Van,,
298,Vanna,,
299,Vic,,
300,Vicki,,
301,Vickie,,
302,Vicky,,
303,Vin,,
304,Vince,,
305,Vinnie,,
306,Waldo,,
307,Wendy,,
308,Wilber,,
309,Will,,
310,Willie,,
311,Wilma,,
312,Winnie,,
313,Winny,,
314,Woody,,
315,Zach,,
