,NAME,LENGTH,Notes
0,Abby,998,Note: Never set 'Length' value greater than last Object ID in Data-Table; Or cyclic crash.
1,Abigail,,
2,Ada,,
3,Addie,,
4,Adela,,
5,Adele,,
6,Adeline,,
7,Adrian,,
8,Adriana,,
9,Adrienne,,
10,Agnes,,
11,Aida,,
12,Aileen,,
13,Aimee,,
14,Aisha,,
15,Alana,,
16,Alba,,
17,Alberta,,
18,Alejandra,,
19,Alexandra,,
20,Alexandria,,
21,Alexis,,
22,Alfreda,,
23,Alice,,
24,Alicia,,
25,Aline,,
26,Alisa,,
27,Alisha,,
28,Alison,,
29,Alissa,,
30,Allie,,
31,Allison,,
32,Allyson,,
33,Alma,,
34,Alta,,
35,Althea,,
36,Alyce,,
37,Alyson,,
38,Alyssa,,
39,Amalia,,
40,Amanda,,
41,Amber,,
42,Amelia,,
43,Amie,,
44,Amparo,,
45,Amy,,
46,Ana,,
47,Anastasia,,
48,Andrea,,
49,Angel,,
50,Angela,,
51,Angelia,,
52,Angelica,,
53,Angelina,,
54,Angeline,,
55,Angelique,,
56,Angelita,,
57,Angie,,
58,Anita,,
59,Ann,,
60,Anna,,
61,Annabelle,,
62,Anne,,
63,Annette,,
64,Annie,,
65,Annmarie,,
66,Antoinette,,
67,Antonia,,
68,April,,
69,Araceli,,
70,Arlene,,
71,Arline,,
72,Ashlee,,
73,Ashley,,
74,Audra,,
75,Audrey,,
76,Augusta,,
77,Aurelia,,
78,Aurora,,
79,Autumn,,
80,Ava,,
81,Avis,,
82,Barbara,,
83,Barbra,,
84,Beatrice,,
85,Beatriz,,
86,Becky,,
87,Belinda,,
88,Benita,,
89,Bernadette,,
90,Bernadine,,
91,Bernice,,
92,Berta,,
93,Bertha,,
94,Bertie,,
95,Beryl,,
96,Bessie,,
97,Beth,,
98,Bethany,,
99,Betsy,,
100,Bette,,
101,Bettie,,
102,Betty,,
103,Bettye,,
104,Beulah,,
105,Beverley,,
106,Beverly,,
107,Bianca,,
108,Billie,,
109,Blanca,,
110,Blanche,,
111,Bobbi,,
112,Bobbie,,
113,Bonita,,
