,TITLE,ICON,LENGTH,Notes
0,Archduchess of the Grey Bears,,49,Note: Never set 'Length' value greater than last Object ID in Data-Table.
1,Baroness of the Poison Sorcerers,,,"Note: Asset paths must be inside double quotes like: ""Texture2d '/Game/Icon1' "" "
2,Sorceress of the Black Marshes,,,
3,Baroness of the Forbidden Oceans,,,
4,Rani of the Lost Centaurs,,,
5,Sovereign of the Indigo Hail,,,
6,Lady of the Singing Travellers,,,
7,Countess of the Skull Ones,,,
8,Vicereine of the Red Highlands,,,
9,Sovereign of the Deathly Fog,,,
10,Memsahib of the Grey Hail,,,
11,High Priestess of the White Woods,,,
12,Rani of the Enchanted Gypsies,,,
13,High Priestess of the Thirsting Tropics,,,
14,Goddess of the Flourishing Ghosts,,,
15,Queen Regent of the Southern Hobgoblins,,,
16,Countess of the Icy Woodwose,,,
17,Duchess of the Clockwork Oceans,,,
18,Vicereine of the Northern Gypsies,,,
19,Princess of the Steam Seas,,,
20,Duchess of the Hungry Soldiers,,,
21,Princess of the Star Questers,,,
22,Countess of the Spring Seas,,,
23,Rani of the Icy Wastes,,,
24,Goddess of the Falling Mermaids,,,
25,Empress of the Northern Woodwose,,,
26,Countess of the Night Toys,,,
27,Mother of the Western Travellers,,,
28,Sovereign of the Northern Ghosts,,,
29,Duchess of the Red Hobgoblins,,,
30,Lady of the Lost Swamps,,,
31,Vicereine of the Blue Highlands,,,
32,Sultana of the Dawn Wastes,,,
33,Vicereine of the Sun Sun,,,
34,Sorceress of the Grey Sun,,,
35,Maharani of the Teeming Woodwose,,,
36,Memsahib of the Great Elves,,,
37,Marchioness of the Eastern Puppets,,,
38,Mother of the Western Jungles,,,
39,Sultana of the Western Stars,,,
40,Sorceress of the Black Children,,,
41,Empress of the Concealed Spirits,,,
42,Maharani of the Poison Ghosts,,,
43,Sultana of the Teeming Puppets,,,
44,Duchess of the Dawn Elves,,,
45,Tsarina of the Sun Questers,,,
46,Margravine of the Bone Puppets,,,
47,Sovereign of the Gloomy Jungles,,,
48,High Priestess of the Wild Travellers,,,
49,Queen of the Green Seas,,,
