,TITLE,ICON,LENGTH,Notes
0,The Active,,254,Note: Never set 'Length' value greater than last Object ID in Data-Table.
1,The Adaptable,,,"Note: Asset paths must be inside double quotes like: ""Texture2d '/Game/Icon1' "" "
2,The Admirable,,,
3,The Adventurous,,,
4,The Agreeable,,,
5,The Alert,,,
6,The Allocentric,,,
7,The Amiable,,,
8,The Anticipative,,,
9,The Appreciative,,,
10,The Articulate,,,
11,The Aspiring,,,
12,The Athletic,,,
13,The Attractive,,,
14,The Balanced,,,
15,The Benevolent,,,
16,The Brilliant,,,
17,The Calm,,,
18,The Capable,,,
19,The Captivating,,,
20,The Caring,,,
21,The Challenging,,,
22,The Charismatic,,,
23,The Charming,,,
24,The Cheerful,,,
25,The Clean,,,
26,The Clearheaded,,,
27,The Clever,,,
28,The Colorful,,,
29,The Companionably,,,
30,The Compassionate,,,
31,The Conciliatory,,,
32,The Confident,,,
33,The Conscientious,,,
34,The Considerate,,,
35,The Constant,,,
36,The Contemplative,,,
37,The Cooperative,,,
38,The Courageous,,,
39,The Courteous,,,
40,The Creative,,,
41,The Cultured,,,
42,The Curious,,,
43,The Daring,,,
44,The Debonair,,,
45,The Decent,,,
46,The Decisive,,,
47,The Dedicated,,,
48,The Deep,,,
49,The Dignified,,,
50,The Directed,,,
51,The Disciplined,,,
52,The Discreet,,,
53,The Dramatic,,,
54,The Dutiful,,,
55,The Dynamic,,,
56,The Earnest,,,
57,The Ebullient,,,
58,The Educated,,,
59,The Efficient,,,
60,The Elegant,,,
61,The Eloquent,,,
62,The Empathetic,,,
63,The Energetic,,,
64,The Enthusiastic,,,
65,The Aesthetic,,,
66,The Exciting,,,
67,The Extraordinary,,,
68,The Fair,,,
69,The Faithful,,,
70,The Farsighted,,,
71,The Felicific,,,
72,The Firm,,,
73,The Flexible,,,
74,The Focused,,,
75,The Forceful,,,
76,The Forgiving,,,
77,The Forthright,,,
78,The Freethinking,,,
79,The Friendly,,,
80,The Funloving,,,
81,The Gallant,,,
82,The Generous,,,
83,The Gentle,,,
84,The Genuine,,,
85,The Hero,,,
86,The Aggressive,,,
87,The Ambitious,,,
